UKDataID,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data,BoE data
Varname,Unemployment rate,Population UK,GDP UK,Agriculture GVA share,FIOC,Services GVA share,Industry GVA share,IOPC,SOPC
1900,0.036760911,37923057.96,1.57395E+11,0.07160000,0.648079589,0.54660000,0.38130000,265.175258,380.133218
1901,0.048639186,38328104,1.61507E+11,0.07160000,0.706111398,0.54660000,0.38130000,269.2271189,385.9416291
1902,0.051288165,38696120,1.63782E+11,0.07160000,0.693621477,0.54660000,0.38130000,270.4224641,387.6551767
1903,0.055807669,39067813,1.61854E+11,0.07160000,0.708975899,0.54660000,0.38130000,264.6970509,379.4477001
1904,0.068726571,39444285,1.64131E+11,0.07160000,0.717474448,0.54660000,0.38130000,265.8596266,381.1142719
1905,0.064468013,39823436,1.69756E+11,0.07160000,0.648441586,0.54660000,0.38130000,272.3518489,390.4209824
1906,0.051603235,40206466,1.73846E+11,0.07160000,0.589725862,0.54660000,0.38130000,276.2573843,396.0196336
1907,0.043886707,40593378,1.77938E+11,0.07160000,0.558518558,0.54660000,0.38130000,280.064722,401.4775165
1908,0.070564384,40984171,1.70687E+11,0.07151242,0.664957984,0.54115304,0.38679750,269.9262879,377.6431664
1909,0.074831043,41379848,1.75307E+11,0.07142485,0.647389008,0.53570608,0.39229499,278.4853602,380.2911164
1910,0.057629594,41767133.88,1.80307E+11,0.07133727,0.616812973,0.53025912,0.39779249,287.748823,383.5704344
1911,0.047285434,42132489.99,1.86682E+11,0.07124969,0.602484146,0.52481217,0.40328999,299.4201605,389.6435496
1912,0.039659576,42340816.6,1.89811E+11,0.07116212,0.59420695,0.51936521,0.40878749,307.0698579,390.1327846
1913,0.036313236,42604213.99,1.98589E+11,0.07107454,0.573693736,0.51391825,0.41428498,323.5788306,401.3977635
1914,0.031563845,43016682.43,2.03255E+11,0.07098696,0.669258286,0.50847129,0.41978248,332.3591232,402.5777154
1915,0.009483167,43279000,2.1624E+11,0.07089939,1.111432849,0.50302433,0.42527998,356.050509,421.1391988
1916,0.00329102,43453000,2.20488E+11,0.07081181,1.046547104,0.49757737,0.43077748,366.2665205,423.0628189
1917,0.004662005,43556000,2.2234E+11,0.07072423,0.989457486,0.49213042,0.43627497,373.1719442,420.9484272
1918,0.006472492,43516000,2.27197E+11,0.07063665,0.985316549,0.48668346,0.44177247,386.4835314,425.7737943
1919,0.030247479,43441000,2.04725E+11,0.07054908,0.855259527,0.48123650,0.44726997,353.1993301,380.0219576
1920,0.019545455,43729000,1.88972E+11,0.07046150,0.757694714,0.47578954,0.45276747,327.8550393,344.5256346
1921,0.110237823,43964900,1.69804E+11,0.08134793,0.800804082,0.51635435,0.40112943,259.6002514,334.1707378
1922,0.096757149,44393500,1.80424E+11,0.05945431,0.781052833,0.53630211,0.40259059,274.1674025,365.2260154
1923,0.079875185,44628100,1.86052E+11,0.04559219,0.801592626,0.54095899,0.41186650,287.7135935,377.892481
1924,0.071174076,44934600,1.95185E+11,0.04374294,0.788926276,0.53999056,0.41494011,302.0148182,393.0329826
1925,0.077598298,45085000,2.02353E+11,0.05284225,0.739360138,0.53984781,0.40559994,305.0373129,406.0003672
1926,0.086668897,45264600,1.95769E+11,0.04889654,0.804349904,0.56243428,0.38695280,280.427532,407.6002486
1927,0.067136129,45429000,2.11751E+11,0.03934629,0.724528856,0.56215710,0.39699695,310.0682866,439.0640545
1928,0.074268272,45626200,2.13503E+11,0.04049175,0.737265825,0.57065115,0.38702578,303.464489,447.4439911
1929,0.07183501,45730000,2.19822E+11,0.04309002,0.73029991,0.56541403,0.38872215,313.1025716,455.4219224
1930,0.110981272,45890900,2.17857E+11,0.05408068,0.736116056,0.56458361,0.38019648,302.4344371,449.1086491
1931,0.148762055,46073600,2.07025E+11,0.04372536,0.853109123,0.59255407,0.36236767,272.8341573,446.1462849
1932,0.153872984,46335000,2.07928E+11,0.04179176,0.857485898,0.59728478,0.35951300,270.3312953,449.1208018
1933,0.139273721,46520000,2.14777E+11,0.04049022,0.837210033,0.59614852,0.36161081,279.7489267,461.1917165
1934,0.117341114,46666000,2.28105E+11,0.04402023,0.78113964,0.58145402,0.37296260,305.4760686,476.2415492
1935,0.108730308,46868500,2.36494E+11,0.03925200,0.772053724,0.58185315,0.37681918,318.6033719,491.961089
1936,0.092481131,47081300,2.48122E+11,0.03584151,0.76650515,0.57543113,0.38682609,341.5948411,508.1464501
1937,0.076965644,47288600,2.56724E+11,0.03058731,0.750540724,0.56953579,0.39824683,362.2768317,518.0948239
1938,0.092018277,47494100,2.58423E+11,0.04146331,0.771861792,0.55718791,0.39942989,364.1752714,508.0092021
1939,0.056846159,47761700,2.70423E+11,0.04316057,0.862903056,0.55223185,0.40281911,382.1661165,523.9182886
1940,0.02990737,48226000,3.00954E+11,0.04485784,1.089963409,0.54727579,0.40620834,424.7619876,572.2727169
1941,0.010340304,48216000,3.28777E+11,0.04655510,1.104772609,0.54231972,0.40959757,467.9994521,619.6456083
1942,0.004429266,48400000,3.35467E+11,0.04825236,1.114757091,0.53736366,0.41298679,479.6435735,624.0950822
1943,0.003199462,48789000,3.41467E+11,0.04994963,1.091377919,0.53240759,0.41637602,488.3042535,624.3800862
1944,0.002834568,49016000,3.249E+11,0.05164689,1.170849457,0.52745153,0.41976524,466.2268372,585.8323523
1945,0.004127689,49182000,3.07644E+11,0.05334416,1.194335289,0.52249547,0.42315447,443.526368,547.649936
1946,0.020382372,49217000,2.98617E+11,0.05504142,0.883995724,0.51753940,0.42654369,433.6525526,526.1648157
1947,0.01624175,49538700,2.94688E+11,0.05673868,0.777622174,0.51258334,0.42993292,428.5458409,510.9296107
1948,0.016403509,50033200,3.05467E+11,0.05843595,0.733928997,0.50762728,0.43332214,443.2974012,519.3130693
1949,0.015265401,50331000,3.16258E+11,0.06008031,0.739286496,0.49900761,0.44032655,463.6167483,525.4016218
1950,0.018233625,50571500,3.26976E+11,0.05226353,0.726166448,0.50793093,0.43894643,475.5540054,550.2917234
1951,0.015673765,50301900,3.38993E+11,0.04635144,0.699120143,0.51024454,0.44268656,499.897494,576.1863845
1952,0.023589666,50444200,3.45995E+11,0.05336321,0.702122583,0.48089591,0.46501234,534.4429405,552.6980702
1953,0.02032146,50592900,3.65848E+11,0.05283230,0.696312282,0.47295940,0.47354354,573.785164,573.0773698
1954,0.017680465,50764900,3.81265E+11,0.04925705,0.703134031,0.47660023,0.47335721,595.704235,599.7854559
1955,0.015503579,50946300,3.95891E+11,0.04495595,0.684100364,0.47612438,0.47811107,622.5440191,619.9571688
1956,0.016398783,51183900,4.0378E+11,0.04371535,0.639891348,0.48076366,0.47455618,627.3029745,635.5084673
1957,0.0188846,51430700,4.11613E+11,0.04337636,0.631891722,0.47986643,0.47565273,637.8740341,643.5248202
1958,0.025289655,51652500,4.15493E+11,0.04235849,0.627204472,0.48167922,0.47483340,640.0175906,649.2449167
1959,0.026423994,51956300,4.30756E+11,0.04054267,0.640660835,0.48587999,0.47251626,656.429605,674.994784
1960,0.02141876,52372500,4.58723E+11,0.03800001,0.608867893,0.48804432,0.47265138,693.6915805,716.2831867
1961,0.0207118,52807436,4.71742E+11,0.03741728,0.59252281,0.49424785,0.46706402,699.1400161,739.8310179
1962,0.026013512,53290228,4.77581E+11,0.03816223,0.609560697,0.49873697,0.46240287,694.381693,748.9439313
1963,0.031037829,53624200,4.86092E+11,0.03558140,0.586040358,0.50631761,0.45739318,694.7452944,769.0577616
1964,0.02397238,53990800,5.13673E+11,0.03505692,0.558542984,0.50214175,0.46197305,736.4815973,800.5189035
1965,0.022636399,54350300,5.27063E+11,0.03320655,0.553282588,0.50702905,0.45887648,745.6493927,823.8947042
1966,0.024722835,54645100,5.34597E+11,0.03354699,0.549560555,0.51326610,0.45231901,741.4782482,841.387689
1967,0.033719699,54961200,5.46184E+11,0.03268183,0.557156171,0.52301962,0.44339730,738.3360871,870.9215373
1968,0.034853233,55212900,5.77568E+11,0.03102413,0.527833351,0.52748721,0.44085039,772.7376526,924.5976344
1969,0.034988768,55459000,5.89687E+11,0.02867619,0.483557349,0.53543207,0.43499426,775.0171731,953.964439
1970,0.037524557,55628800,6.04926E+11,0.02855810,0.414536055,0.55940261,0.41203929,750.7917124,1019.307759
1971,0.041384706,55928000,6.28018E+11,0.02814570,0.41915758,0.56795705,0.40389725,759.962188,1068.652684
1972,0.043432574,56096700,6.54083E+11,0.02767748,0.441120974,0.57716442,0.39515810,772.0487418,1127.647542
1973,0.036509591,56222900,6.98796E+11,0.02722219,0.408436042,0.58615379,0.38662402,805.2009554,1220.750837
1974,0.036493821,56235600,6.82897E+11,0.02673676,0.48969016,0.59577290,0.37749034,768.1180863,1212.279892
1975,0.044968782,56225700,6.72946E+11,0.02637644,0.538847077,0.60335398,0.37026958,742.5772824,1210.029081
1976,0.053969466,56216100,6.93217E+11,0.02509946,0.503619043,0.60323388,0.37166666,767.9631373,1246.443219
1977,0.055938202,56189900,7.10527E+11,0.02387069,0.46805992,0.60260552,0.37352380,791.4416175,1276.83187
1978,0.055052476,56178000,7.36183E+11,0.02261591,0.44303014,0.60250701,0.37487707,823.1645807,1323.000173
1979,0.053779998,56240100,7.61303E+11,0.02135259,0.438793914,0.60282240,0.37582501,852.4627611,1367.348193
1980,0.068093168,56329700,7.46269E+11,0.02009478,0.476052838,0.60313572,0.37676951,836.3960884,1338.909716
1981,0.096490255,56357500,7.40824E+11,0.01918846,0.479873165,0.61186628,0.36894526,812.6499959,1347.715204
1982,0.107172146,56290666,7.56518E+11,0.01830368,0.471572945,0.62021648,0.36147984,814.0390531,1396.704274
1983,0.114722967,56315717,7.87485E+11,0.01744903,0.448403336,0.62812906,0.35442191,830.4462241,1471.769646
1984,0.117743225,56409310,8.02671E+11,0.01667347,0.433455699,0.63449551,0.34883102,831.7257794,1512.84217
1985,0.1135782,56554003,8.38515E+11,0.01595147,0.41690275,0.63981802,0.34423051,855.2146343,1589.579437
1986,0.113237297,56683834,8.6217E+11,0.01631074,0.431541753,0.64632362,0.33736564,859.8304472,1647.259415
1987,0.104333014,56804004,9.07589E+11,0.01668952,0.393818765,0.65268957,0.33062091,885.1540685,1747.411663
1988,0.085744345,56916408,9.59298E+11,0.01709126,0.372049103,0.65900039,0.32390834,914.7796068,1861.144148
1989,0.072213936,57076416,9.84669E+11,0.01753689,0.339159968,0.66486553,0.31759758,918.0979839,1921.965866
1990,0.070979118,57237498,9.93064E+11,0.01680870,0.327096173,0.67829873,0.30489256,886.3835962,1971.949939
1991,0.088177889,57438663,9.86263E+11,0.01596087,0.324600796,0.69735563,0.28668177,824.8344319,2006.416152
1992,0.09949933,57584567,9.91299E+11,0.01626902,0.348582579,0.70723187,0.27650408,797.5876006,2040.039942
1993,0.103747521,57713937,1.01741E+12,0.01675569,0.342258916,0.71289282,0.27035307,798.5895324,2105.79719
1994,0.094960965,57862138,1.05384E+12,0.01636925,0.322313463,0.70884807,0.27478269,838.5896555,2163.282774
1995,0.086217881,58024768,1.07672E+12,0.01714273,0.337570787,0.70593013,0.27692145,861.0378295,2194.963749
1996,0.080970518,58164423,1.10205E+12,0.01574843,0.32296491,0.70929739,0.27496217,872.9623242,2251.909413
1997,0.069720137,58314288,1.13391E+12,0.01136819,0.323079046,0.71911238,0.26981540,879.1232659,2343.040557
1998,0.062554665,58474974,1.17183E+12,0.01393646,0.273365577,0.73020744,0.25974083,872.1954752,2451.996535
1999,0.059768126,58684421,1.2119E+12,0.01168957,0.341558876,0.74186411,0.24870983,860.6267566,2567.120465
2000,0.054590485,58886021,1.25794E+12,0.01424973,0.319265606,0.73787985,0.25343317,907.1694716,2641.256718
2001,0.050991404,59112978,1.28885E+12,0.01221144,0.299995176,0.75212720,0.23959951,875.3554137,2747.829535
2002,0.05187799,59365643,1.31616E+12,0.01515758,0.285193934,0.75595317,0.23601633,876.7844959,2808.314192
2003,0.050117805,59636638,1.36281E+12,0.01295966,0.270034764,0.76532097,0.22621615,866.2085205,2930.504974
2004,0.047539561,59950322,1.39454E+12,0.01349208,0.262284524,0.77353930,0.21789724,849.3144903,3015.082394
2005,0.048294517,60413243,1.44051E+12,0.01147675,0.240919265,0.77334620,0.22027767,880.1029859,3089.846947
2006,0.054237398,60827054,1.47633E+12,0.01120741,0.262317702,0.77328845,0.22051451,896.8110455,3144.888801
2007,0.053330326,61319092,1.51372E+12,0.00951734,0.241041858,0.77829828,0.21541749,891.0626024,3219.388034
2008,0.056853632,61823820,1.50741E+12,0.00373593,0.35740023,0.78158796,0.21144015,863.8530322,3193.230412
2009,0.076143097,62260453,1.43846E+12,0.00837841,0.393174976,0.79457167,0.19939677,771.9354978,3076.068236
2010,0.078707644,62759423,1.46712E+12,0.00777998,0.339252239,0.79157026,0.20112609,787.8337169,3100.670614
2011,0.081109825,63285127,1.48871E+12,0.00743604,0.302964638,0.79014445,0.20306665,800.4325566,3114.530886
2012,0.07970745,63704996,1.50542E+12,0.00681324,0.373761973,0.79186213,0.20146953,797.7576697,3135.531592
2013,0.07608094,64105629,1.52796E+12,0.00547577,0.394454337,0.78782807,0.20502232,818.8323032,3146.482107
2014,0.061800323,64596754,1.5802E+12,0.00492204,0.35925102,0.79173798,0.20149100,825.9138588,3245.342778
2015,0.053844061,65110000,1.61873E+12,0.00541395,0.320832027,0.79814904,0.19365358,806.7318119,3324.969452
2016,0.048958801,65573000,1.64868E+12,,,,,,